,States/UTs,Category,Total geographical area,Reporting area for land utilization,Forests,Not available for cultivation,Permanent pastures and other grazing lands,Land under miscellaneous tree crops & groves,Culturable wasteland,Fallow lands other than current fallows,Current fallows,Net area sown
49,Tamil Nadu,Percentage to Geographical Area,,100,16.17,20.43,0.84,2.06,2.72,11.46,6.96,39.35
50,Tripura,Area,1049.0,1049,606.0,134.0,0.0,27.0,1.0,1.0,1.0,280.0
51,Tripura,Percentage to Geographical Area,,100,57.77,12.77,0.0,2.57,0.1,0.1,0.1,26.69
52,Uttar Pradesh,Area,24093.0,24201,1654.0,3215.0,65.0,376.0,439.0,550.0,1270.0,16633.0
53,Uttar Pradesh,Percentage to Geographical Area,,100,6.83,13.28,0.27,1.55,1.81,2.27,5.25,68.73
54,Uttarakhand,Area,5348.0,5666,3465.0,467.0,230.0,249.0,384.0,62.0,42.0,768.0
55,Uttarakhand,Percentage to Geographical Area,,100,61.15,8.24,4.06,4.39,6.78,1.09,0.74,13.55
56,West Bengal,Area,8875.0,8684,1174.0,1754.0,5.0,58.0,34.0,22.0,341.0,5296.0
57,West Bengal,Percentage to Geographical Area,,100,13.52,20.2,0.06,0.67,0.39,0.25,3.93,60.99
58,Andaman & Nicobar Islands,Area,825.0,795,717.0,25.0,6.0,18.0,12.0,3.0,1.0,13.0
59,Andaman & Nicobar Islands,Percentage to Geographical Area,,100,90.19,3.14,0.75,2.26,1.51,0.38,0.13,1.64
60,Chandigarh,Area,11.0,7,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
61,Chandigarh,Percentage to Geographical Area,,100,0.0,71.43,0.0,0.0,0.0,0.0,0.0,0.0
62,Dadra & Nagar Haveli,Area,49.0,49,20.0,4.0,1.0,0.0,0.0,1.0,1.0,22.0
63,Dadra & Nagar Haveli,Percentage to Geographical Area,,100,40.82,8.16,2.04,0.0,0.0,2.04,2.04,44.9
64,Daman & Diu,Area,11.0,3,,0.0,,0.0,0.0,,,3.0
65,Daman & Diu,Percentage to Geographical Area,100.0,0,,0.0,,0.0,0.0,,,100.0
66,Lakshwadeep,Area,3.0,3,0.0,0.0,,,,,,3.0
67,Lakshwadeep,Percentage to Geographical Area,,100,0.0,0.0,,,,,,100.0
68,Puducherry,Area,48.0,49,0.0,18.0,0.0,1.0,4.0,3.0,2.0,20.0
